category,item_name,price,desc,dietary_slugs,rating_value,rating_total_rating_text,tag_slugs,service_slugs,id,min_price,max_price,default_price,display_price,variant_id,parent_menu_id,always_show_on_checkout,is_bogo_active,order,auto_add,auto_add_quantity,show_image,visible,state,rating,free_dish_quantity,type,added_bottom_text_field,not_added_bottom_text_field,disabled_text,secondary_tag_slugs,entity_type,primary_tag_slug,food_legends,search_alias,metadata,added_bottom_text,not_added_bottom_text,not_added_bottom_text_color,remove_popup_text,auto_add_toast_message,auto_already_added_toast_message,remove_popup_title,tag_ids,tag_image,hide_in_meals_menu
Accompaniments,Mayonnaise,15,,veg,,,veg,delivery-enabled,ctl_562856657,15,15,15,15,v_767367035,ctg_38755785,0,False,2,0,0,False,False,available,,0,dish,,,,services,catalogue,,,Accompaniments,"{""v"":767367035,""s_ctg"":56660891,""cmb_sel"":0,""cmb"":0,""ff"":false,""ctl_n"":""mayonnaise""}",,,,,,,,1,https://b.zmtcdn.com/data/o2_assets/958e4cb4a8b255659daae2c430f976ea1608028693.png,1
Accompaniments,Slice Cheese,20,,veg,,,veg,delivery-enabled,ctl_562856991,20,20,20,20,v_767367369,ctg_38755785,0,False,1,0,0,False,False,available,,0,dish,,,,services,catalogue,,,Accompaniments,"{""v"":767367369,""s_ctg"":56660891,""cmb_sel"":0,""cmb"":0,""ff"":false,""ctl_n"":""slice-cheese""}",,,,,,,,1,https://b.zmtcdn.com/data/o2_assets/958e4cb4a8b255659daae2c430f976ea1608028693.png,1
Accompaniments,Egg,20,,egg,,,egg,delivery-enabled,ctl_562856816,20,20,20,20,v_767367194,ctg_38755785,0,False,4,0,0,False,False,available,,0,dish,,,,services,catalogue,,,Accompaniments,"{""v"":767367194,""s_ctg"":56660891,""cmb_sel"":0,""cmb"":0,""ff"":false,""ctl_n"":""egg""}",,,,,,,,24,https://b.zmtcdn.com/data/o2_assets/5d4de18a3d402878965275e9f24656951635253564.png,1
Accompaniments,Jalapeno Cheese,30,,veg,,,veg,delivery-enabled,ctl_562856885,30,30,30,30,v_767367263,ctg_38755785,0,False,3,0,0,False,False,available,,0,dish,,,,services,catalogue,,,Accompaniments,"{""v"":767367263,""s_ctg"":56660891,""cmb_sel"":0,""cmb"":0,""ff"":false,""ctl_n"":""jalapeno-cheese""}",,,,,,,,1,https://b.zmtcdn.com/data/o2_assets/958e4cb4a8b255659daae2c430f976ea1608028693.png,1
Burgers and Sandwiches,Chilli Cheese Sandwich,90,,veg,,,veg,delivery-enabled,ctl_562856828,90,90,90,90,v_767367206,ctg_38755781,0,False,1,0,0,False,False,available,,0,dish,,,,services,catalogue,,,Burgers and Sandwiches,"{""v"":767367206,""s_ctg"":56660887,""cmb_sel"":0,""cmb"":0,""ff"":false,""ctl_n"":""chilli-cheese-sandwich""}",,,,,,,,1,https://b.zmtcdn.com/data/o2_assets/958e4cb4a8b255659daae2c430f976ea1608028693.png,1
Burgers and Sandwiches,Mixed Fruit Sandwich,90,,veg,,,veg,delivery-enabled,ctl_562856789,90,90,90,90,v_767367167,ctg_38755781,0,False,2,0,0,False,False,available,,0,dish,,,,services,catalogue,,,Burgers and Sandwiches,"{""v"":767367167,""s_ctg"":56660887,""cmb_sel"":0,""cmb"":0,""ff"":false,""ctl_n"":""mixed-fruit-sandwich""}",,,,,,,,1,https://b.zmtcdn.com/data/o2_assets/958e4cb4a8b255659daae2c430f976ea1608028693.png,1
Burgers and Sandwiches,Mushroom Cheese Sandwich,100,,veg,,,veg,delivery-enabled,ctl_562856649,100,100,100,100,v_767367027,ctg_38755781,0,False,3,0,0,False,False,available,,0,dish,,,,services,catalogue,,,Burgers and Sandwiches,"{""v"":767367027,""s_ctg"":56660887,""cmb_sel"":0,""cmb"":0,""ff"":false,""ctl_n"":""mushroom-cheese-sandwich""}",,,,,,,,1,https://b.zmtcdn.com/data/o2_assets/958e4cb4a8b255659daae2c430f976ea1608028693.png,1
Burgers and Sandwiches,Aloo Burger,100,,veg,,,veg,delivery-enabled,ctl_562856908,100,100,100,100,v_767367286,ctg_38755781,0,False,1,0,0,False,False,available,,0,dish,,,,services,catalogue,,,Burgers and Sandwiches,"{""v"":767367286,""s_ctg"":56660886,""cmb_sel"":0,""cmb"":0,""ff"":false,""ctl_n"":""aloo-burger""}",,,,,,,,1,https://b.zmtcdn.com/data/o2_assets/958e4cb4a8b255659daae2c430f976ea1608028693.png,1
Burgers and Sandwiches,Corn Cheese Sandwich,110,,veg,,,veg,delivery-enabled,ctl_562856925,110,110,110,110,v_767367303,ctg_38755781,0,False,6,0,0,False,False,available,,0,dish,,,,services,catalogue,,,Burgers and Sandwiches,"{""v"":767367303,""s_ctg"":56660887,""cmb_sel"":0,""cmb"":0,""ff"":false,""ctl_n"":""corn-cheese-sandwich""}",,,,,,,,1,https://b.zmtcdn.com/data/o2_assets/958e4cb4a8b255659daae2c430f976ea1608028693.png,1
Burgers and Sandwiches,Jalapeno Cheese Sandwich,110,,veg,,,veg,delivery-enabled,ctl_562856768,110,110,110,110,v_767367146,ctg_38755781,0,False,7,0,0,False,False,available,,0,dish,,,,services,catalogue,,,Burgers and Sandwiches,"{""v"":767367146,""s_ctg"":56660887,""cmb_sel"":0,""cmb"":0,""ff"":false,""ctl_n"":""jalapeno-cheese-sandwich""}",,,,,,,,1,https://b.zmtcdn.com/data/o2_assets/958e4cb4a8b255659daae2c430f976ea1608028693.png,1
