category,item_name,price,desc,dietary_slugs,rating_value,rating_total_rating_text,tag_slugs,service_slugs,id,min_price,max_price,default_price,display_price,variant_id,parent_menu_id,image_url,image_thumb_url,always_show_on_checkout,is_bogo_active,order,auto_add,auto_add_quantity,show_image,visible,state,free_dish_quantity,type,added_bottom_text_field,not_added_bottom_text_field,disabled_text,secondary_tag_slugs,entity_type,primary_tag_slug,food_legends,search_alias,metadata,added_bottom_text,not_added_bottom_text,not_added_bottom_text_color,remove_popup_text,auto_add_toast_message,auto_already_added_toast_message,remove_popup_title,vendor_id,tag_ids,tag_image,hide_in_meals_menu,rating,serving_info,modifier_group_ids,enable_customisation_on_cart,customisation_tracking_metadata
Day Special,Chicken Roast,390.0,5 Pieces of chicken with bone are coated in our special andra spice blend and finished in a pan with a lot of green chilies. It is pretty spicy.,non-veg,,,non-veg,delivery-enabled,ctl_261192834,390.0,390.0,390.0,390.0,v_329570232,ctg_18565133,https://b.zmtcdn.com/data/dish_photos/780/63fc07af14f64e7071fb9fe8282a3780.jpg,https://b.zmtcdn.com/data/dish_photos/780/63fc07af14f64e7071fb9fe8282a3780.jpg?fit=around%7C200%3A200&crop=200%3A200%3B%2A%2C%2A,0,False,4,0,0,True,False,available,0,dish,,,,services,catalogue,,,Day Special,"{""v"":329570232,""s_ctg"":28223455,""cmb_sel"":0,""cmb"":0,""ff"":false,""ctl_n"":""chicken-roast""}",,,,,,,,130,2,https://b.zmtcdn.com/data/o2_assets/5d4de18a3d402878965275e9f24656951635253564.png,1,,,,,
Drinks (Beverages),Fresh Lime,0.0,,veg,4.30000019,43 votes,veg,delivery-enabled,ctl_577350212,65.0,65.0,65.0,65.0,,ctg_15575035,https://b.zmtcdn.com/data/dish_photos/45b/f3d4cccbebf35cb4e220482ae5bc445b.jpeg,https://b.zmtcdn.com/data/dish_photos/45b/f3d4cccbebf35cb4e220482ae5bc445b.jpeg?fit=around%7C200%3A200&crop=200%3A200%3B%2A%2C%2A,0,False,11,0,0,True,False,available,0,dish,,,,services,catalogue,,,Drinks (Beverages),"{""v"":0,""s_ctg"":23860818,""cmb_sel"":0,""cmb"":0,""ff"":false,""ctl_n"":""fresh-lime""}",,,,,,,,G82,1,https://b.zmtcdn.com/data/o2_assets/958e4cb4a8b255659daae2c430f976ea1608028693.png,1,,,,False,"{""exp_no"":1,""default_v_price"":65,""lowest_v_price"":65,""highest_v_price"":65,""total_mgs"":-1,""total_v_count"":1,""properties"":1}"
Drinks (Beverages),Lassi,0.0,,veg,4.51000023,11 votes,veg,delivery-enabled,ctl_577350213,99.0,99.0,99.0,99.0,,ctg_15575035,,,0,False,13,0,0,False,False,available,0,dish,,,,services,catalogue,,,Drinks (Beverages),"{""v"":0,""s_ctg"":23860818,""cmb_sel"":0,""cmb"":0,""ff"":false,""ctl_n"":""lassi""}",,,,,,,,G86,1,https://b.zmtcdn.com/data/o2_assets/958e4cb4a8b255659daae2c430f976ea1608028693.png,1,,,,False,"{""exp_no"":1,""default_v_price"":99,""lowest_v_price"":99,""highest_v_price"":99,""total_mgs"":-1,""total_v_count"":2,""properties"":1}"
Drinks (Beverages),500 Ml Water Bottle,9.55,,veg,3.83999991,16 votes,veg,delivery-enabled,ctl_531533763,9.55,9.55,9.55,9.55,v_722701961,ctg_15575035,,,0,False,9,0,0,False,False,available,0,dish,,,,services,catalogue,,,Drinks (Beverages),"{""v"":722701961,""s_ctg"":23860818,""cmb_sel"":0,""cmb"":0,""ff"":false,""ctl_n"":""500-ml-water-bottle""}",,,,,,,,177,1,https://b.zmtcdn.com/data/o2_assets/958e4cb4a8b255659daae2c430f976ea1608028693.png,1,,,,,
Drinks (Beverages),Buttermilk,55.0,,veg,4.46000004,29 votes,veg,delivery-enabled,ctl_577350198,55.0,55.0,55.0,55.0,v_786758238,ctg_15575035,,,0,False,10,0,0,False,False,available,0,dish,,,,services,catalogue,,,Drinks (Beverages),"{""v"":786758238,""s_ctg"":23860818,""cmb_sel"":0,""cmb"":0,""ff"":false,""ctl_n"":""buttermilk""}",,,,,,,,85,1,https://b.zmtcdn.com/data/o2_assets/958e4cb4a8b255659daae2c430f976ea1608028693.png,1,,,,,
Drinks (Beverages),Coke Tin 330 ML,66.66,,veg,4.4000001,30 votes,veg,delivery-enabled,ctl_458454463,66.66,66.66,66.66,66.66,v_566541270,ctg_15575035,https://b.zmtcdn.com/data/dish_photos/f68/76bedc190283458f2eeebeeac817af68.jpeg,https://b.zmtcdn.com/data/dish_photos/f68/76bedc190283458f2eeebeeac817af68.jpeg?fit=around%7C200%3A200&crop=200%3A200%3B%2A%2C%2A,0,False,2,0,0,True,False,available,0,dish,,,,coke,catalogue,,,Drinks (Beverages),"{""v"":566541270,""s_ctg"":23860818,""cmb_sel"":0,""cmb"":0,""ff"":false,""ctl_n"":""coke-tin-330-ml""}",,,,,,,,343,"1,19,61,62,63",https://b.zmtcdn.com/images/coke_logo_small.png,1,,,,,
Drinks (Beverages),Thums Up Tin 330 ML,66.66,,veg,4.38000011,32 votes,veg,delivery-enabled,ctl_466461836,66.66,66.66,66.66,66.66,v_576170623,ctg_15575035,https://b.zmtcdn.com/data/dish_photos/6e0/30d72d1352f2704b236db750e10d76e0.jpeg,https://b.zmtcdn.com/data/dish_photos/6e0/30d72d1352f2704b236db750e10d76e0.jpeg?fit=around%7C200%3A200&crop=200%3A200%3B%2A%2C%2A,0,False,3,0,0,True,False,available,0,dish,,,,thums-up,catalogue,,,Drinks (Beverages),"{""v"":576170623,""s_ctg"":23860818,""cmb_sel"":0,""cmb"":0,""ff"":false,""ctl_n"":""thums-up-tin-330-ml""}",,,,,,,,345,"1,33,61,62,63",https://b.zmtcdn.com/images/thumsup_logo_small.png,1,,,,,
Drinks (Beverages),Sprite Tin 330 ML,66.66,,veg,4.38999987,11 votes,veg,delivery-enabled,ctl_466463396,66.66,66.66,66.66,66.66,v_576172537,ctg_15575035,https://b.zmtcdn.com/data/dish_photos/385/c9e82823dd6e4ef097950281ad879385.jpeg,https://b.zmtcdn.com/data/dish_photos/385/c9e82823dd6e4ef097950281ad879385.jpeg?fit=around%7C200%3A200&crop=200%3A200%3B%2A%2C%2A,0,False,4,0,0,True,False,available,0,dish,,,,sprite,catalogue,,,Drinks (Beverages),"{""v"":576172537,""s_ctg"":23860818,""cmb_sel"":0,""cmb"":0,""ff"":false,""ctl_n"":""sprite-tin-330-ml""}",,,,,,,,346,"1,34,61,62,63",https://b.zmtcdn.com/images/sprite_logo_small.png,1,,,,,
Drinks (Beverages),Blue Lime Juice,75.0,,veg,3.8900001,21 votes,veg,delivery-enabled,ctl_577350209,75.0,75.0,75.0,75.0,v_786758249,ctg_15575035,https://b.zmtcdn.com/data/dish_photos/641/8e65e1bb7c875604508c7ab25bcab641.jpeg,https://b.zmtcdn.com/data/dish_photos/641/8e65e1bb7c875604508c7ab25bcab641.jpeg?fit=around%7C200%3A200&crop=200%3A200%3B%2A%2C%2A,0,False,12,0,0,True,False,available,0,dish,,,,services,catalogue,,,Drinks (Beverages),"{""v"":786758249,""s_ctg"":23860818,""cmb_sel"":0,""cmb"":0,""ff"":false,""ctl_n"":""blue-lime-juice""}",,,,,,,,362,1,https://b.zmtcdn.com/data/o2_assets/958e4cb4a8b255659daae2c430f976ea1608028693.png,1,,,,,
Drinks (Beverages),Mint Lime Juice,75.0,,veg,4.19000006,13 votes,veg,delivery-enabled,ctl_577350210,75.0,75.0,75.0,75.0,v_786758250,ctg_15575035,,,0,False,18,0,0,False,False,available,0,dish,,,,services,catalogue,,,Drinks (Beverages),"{""v"":786758250,""s_ctg"":23860818,""cmb_sel"":0,""cmb"":0,""ff"":false,""ctl_n"":""mint-lime-juice""}",,,,,,,,363,1,https://b.zmtcdn.com/data/o2_assets/958e4cb4a8b255659daae2c430f976ea1608028693.png,1,,,,,
Drinks (Beverages),Meghana Sarbath,110.0,,veg,,,veg,delivery-enabled,ctl_577350206,110.0,110.0,110.0,110.0,v_786758246,ctg_15575035,,,0,False,19,0,0,False,False,available,0,dish,,,,services,catalogue,,,Drinks (Beverages),"{""v"":786758246,""s_ctg"":23860818,""cmb_sel"":0,""cmb"":0,""ff"":false,""ctl_n"":""meghana-sarbath""}",,,,,,,,359,1,https://b.zmtcdn.com/data/o2_assets/958e4cb4a8b255659daae2c430f976ea1608028693.png,1,,,,,
Drinks (Beverages),Arabian Grape,115.0,,veg,4.51999998,18 votes,veg,delivery-enabled,ctl_577350199,115.0,115.0,115.0,115.0,v_786758239,ctg_15575035,,,0,False,14,0,0,False,False,available,0,dish,,,,services,catalogue,,,Drinks (Beverages),"{""v"":786758239,""s_ctg"":23860818,""cmb_sel"":0,""cmb"":0,""ff"":false,""ctl_n"":""arabian-grape""}",,,,,,,,277,1,https://b.zmtcdn.com/data/o2_assets/958e4cb4a8b255659daae2c430f976ea1608028693.png,1,,,,,
